This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1016894
Number of nonzeros in inequality constraint Jacobian.:       12
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3259
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      808
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3078
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 148  1.1153147e-02 2.10e-03 1.76e-02  -4.1 1.71e-01    -  1.00e+00 1.00e+00h  1
 149  1.1257360e-02 2.17e-03 1.50e-02  -4.0 1.74e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.1102088e-02 1.53e-03 8.48e-03  -4.1 1.37e-01    -  1.00e+00 1.00e+00h  1
 151  1.1123250e-02 5.25e-04 9.63e-03  -4.0 8.29e-02    -  1.00e+00 1.00e+00h  1
 152  1.1123841e-02 9.09e-04 1.07e-02  -4.0 7.10e-02    -  1.00e+00 1.00e+00h  1
 153  1.1081745e-02 1.09e-03 1.14e-02  -4.1 1.03e-01    -  1.00e+00 1.00e+00h  1
 154  1.1075485e-02 3.02e-03 3.08e-02  -4.0 1.61e-01    -  1.00e+00 1.00e+00h  1
 155  1.1063815e-02 1.42e-03 7.80e-03  -4.0 9.40e-02    -  1.00e+00 1.00e+00h  1
 156  1.0997399e-02 7.58e-04 3.42e-03  -4.0 9.27e-02    -  1.00e+00 1.00e+00h  1
 157  1.0968143e-02 3.73e-03 7.72e-03  -4.0 1.43e-01    -  1.00e+00 1.00e+00h  1
 158  1.0958678e-02 4.51e-02 4.98e-02  -4.0 1.08e+00    -  1.00e+00 5.00e-01h  2
 159  1.0871597e-02 5.05e-02 6.17e-02  -4.0 2.07e+00    -  1.00e+00 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.0870143e-02 4.84e-02 1.15e-01  -4.0 4.56e+00    -  1.00e+00 1.25e-01h  4
 161  1.0987984e-02 3.72e-02 9.68e-02  -4.0 1.51e+00    -  1.00e+00 2.50e-01h  3
 162  1.1576237e-02 1.59e-02 3.07e-02  -4.1 4.31e-01    -  1.00e+00 1.00e+00h  1
 163  1.0539766e-02 9.63e-03 1.67e-02  -4.1 3.37e-01    -  1.00e+00 1.00e+00h  1
 164  1.0564347e-02 6.10e-03 1.96e-02  -4.0 1.82e-01    -  1.00e+00 1.00e+00h  1
 165  1.0828293e-02 4.15e-03 3.09e-02  -4.0 2.07e-01    -  1.00e+00 1.00e+00h  1
 166  1.0508924e-02 1.91e-03 1.29e-02  -4.0 1.58e-01    -  1.00e+00 1.00e+00h  1
 167  1.0567245e-02 8.84e-04 3.58e-02  -4.0 6.55e-02    -  1.00e+00 1.00e+00h  1
 168  1.0585719e-02 1.70e-04 1.16e-02  -4.0 4.37e-02    -  1.00e+00 1.00e+00h  1
 169  1.0558910e-02 1.01e-03 1.66e-02  -4.0 9.20e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.0565656e-02 9.09e-04 1.46e-02  -4.0 1.14e-01    -  1.00e+00 1.00e+00h  1
 171  1.0505057e-02 3.06e-04 6.45e-03  -4.1 8.01e-02    -  1.00e+00 1.00e+00h  1
 172  1.0505089e-02 5.04e-05 3.91e-03  -4.0 2.78e-02    -  1.00e+00 1.00e+00h  1
