time_ns,g_eff,u_X1,u_Y1,u_X2,u_Y2
21.55,0.006283185307,0.006848577373,-0.0008870577929,-0.006324960602,5.53866932e-05
21.6,0.006283185307,0.007260102833,-0.0009415317255,-0.00670075817,5.223326254e-05
21.65,0.006283185307,0.007681127588,-0.0009973847548,-0.007084787401,4.833379997e-05
21.7,0.006283185307,0.008111432235,-0.001054595326,-0.00747682068,4.364855312e-05
21.75,0.006283185307,0.00855079737,-0.001113141885,-0.007876630393,3.813776966e-05
21.8,0.006283185307,0.008999003591,-0.001173002877,-0.008283988928,3.176169723e-05
21.85,0.006283185307,0.009455831494,-0.001234156746,-0.008698668671,2.448058351e-05
21.9,0.006283185307,0.009921061678,-0.00129658194,-0.009120442008,1.625467613e-05
21.95,0.006283185307,0.01039447474,-0.001360256902,-0.009549081325,7.044222766e-06
22,0.006283185307,0.01087585128,-0.001425160078,-0.009984359009,-3.190528939e-06
22.05,0.006283185307,0.01136497188,-0.001491269914,-0.01042604745,-1.448933133e-05
22.1,0.006283185307,0.01186161716,-0.001558564854,-0.01087391902,-2.689193674e-05
22.15,0.006283185307,0.0123655677,-0.001627023345,-0.01132774613,-4.043809752e-05
22.2,0.006283185307,0.0128766041,-0.001696623832,-0.01178730114,-5.516756602e-05
22.25,0.006283185307,0.01339450697,-0.00176734476,-0.01225235646,-7.112009458e-05
22.3,0.006283185307,0.01391905689,-0.001839164574,-0.01272268446,-8.833543555e-05
22.35,0.006283185307,0.01445003447,-0.001912061719,-0.01319805753,-0.0001068533413
22.4,0.006283185307,0.0149872203,-0.001986014642,-0.01367824806,-0.0001267135641
22.45,0.006283185307,0.01553039498,-0.002061001787,-0.01416302844,-0.0001479558563
22.5,0.006283185307,0.0160793391,-0.0021370016,-0.01465217104,-0.0001706199703
22.55,0.006283185307,0.01663383326,-0.002213992526,-0.01514544827,-0.0001947456585
22.6,0.006283185307,0.01719365807,-0.00229195301,-0.0156426325,-0.0002203726731
22.65,0.006283185307,0.01775859412,-0.002370861498,-0.01614349612,-0.0002475407666
22.7,0.006283185307,0.01832842199,-0.002450696436,-0.01664781151,-0.0002762896912
22.75,0.006283185307,0.01890292231,-0.002531436267,-0.01715535107,-0.0003066591993
22.8,0.006283185307,0.01948187564,-0.002613059439,-0.01766588718,-0.0003386890432
22.85,0.006283185307,0.02006506261,-0.002695544396,-0.01817919222,-0.0003724189754
22.9,0.006283185307,0.0206522638,-0.002778869584,-0.01869503859,-0.0004078887481
22.95,0.006283185307,0.02124325981,-0.002863013447,-0.01921319867,-0.0004451381137
23,0.006283185307,0.02183783123,-0.002947954432,-0.01973344484,-0.0004842068245
23.05,0.006283185307,0.02243575868,-0.003033670984,-0.02025554949,-0.0005251346329
23.1,0.006283185307,0.02303682273,-0.003120141547,-0.02077928501,-0.0005679612911
23.15,0.006283185307,0.02364080399,-0.003207344568,-0.02130442379,-0.0006127265517
23.2,0.006283185307,0.02424748306,-0.003295258491,-0.02183073821,-0.0006594701669
23.25,0.006283185307,0.02485664053,-0.003383861763,-0.02235800065,-0.000708231889
23.3,0.006283185307,0.025468057,-0.003473132828,-0.02288598351,-0.0007590514704
23.35,0.006283185307,0.02608151307,-0.003563050132,-0.02341445917,-0.0008119686634
23.4,0.006283185307,0.02669678934,-0.00365359212,-0.02394320001,-0.0008670232205
23.45,0.006283185307,0.02731366639,-0.003744737237,-0.02447197843,-0.0009242548938
23.5,0.006283185307,0.02793192484,-0.00383646393,-0.02500056681,-0.0009837034359
23.55,0.006283185307,0.02855134527,-0.003928750642,-0.02552873753,-0.001045408599
23.6,0.006283185307,0.02917170828,-0.00402157582,-0.02605626299,-0.001109410135
23.65,0.006283185307,0.02979279448,-0.004114917909,-0.02658291557,-0.001175747797
23.7,0.006283185307,0.03041438445,-0.004208755354,-0.02710846765,-0.001244461338
23.75,0.006283185307,0.0310362588,-0.004303066601,-0.02763269162,-0.001315590508
23.8,0.006283185307,0.03165819812,-0.004397830095,-0.02815535987,-0.001389175062
23.85,0.006283185307,0.03227998301,-0.004493024281,-0.02867624479,-0.00146525475
23.9,0.006283185307,0.03290139407,-0.004588627605,-0.02919511875,-0.001543869326
23.95,0.006283185307,0.03352221189,-0.004684618512,-0.02971175416,-0.001625058541
24,0.006283185307,0.03414221707,-0.004780975447,-0.03022592339,-0.001708862149
24.05,0.006283185307,0.0347611902,-0.004877676856,-0.03073739882,-0.001795319901
24.1,0.006283185307,0.0353789119,-0.004974701184,-0.03124595286,-0.00188447155
24.15,0.006283185307,0.03599516274,-0.005072026877,-0.03175135788,-0.001976356848
24.2,0.006283185307,0.03660972333,-0.005169632379,-0.03225338626,-0.002071015548
24.25,0.006283185307,0.03722237427,-0.005267496136,-0.03275181041,-0.002168487401
24.3,0.006283185307,0.03783289616,-0.005365596595,-0.03324640269,-0.002268812161
24.35,0.006283185307,0.03844106958,-0.005463912198,-0.03373693551,-0.002372029579
24.4,0.006283185307,0.03904667515,-0.005562421394,-0.03422318124,-0.002478179408
24.45,0.006283185307,0.03964949344,-0.005661102625,-0.03470491227,-0.002587301401
24.5,0.006283185307,0.04024930507,-0.005759934339,-0.03518190099,-0.002699435309
24.55,0.006283185307,0.04084589063,-0.00585889498,-0.03565391978,-0.002814620884
24.6,0.006283185307,0.04143903072,-0.005957962994,-0.03612074103,-0.00293289788
24.65,0.006283185307,0.04202850593,-0.006057116825,-0.03658213714,-0.003054306049
24.7,0.006283185307,0.04261409686,-0.00615633492,-0.03703788047,-0.003178885142
24.75,0.006283185307,0.0431955841,-0.006255595724,-0.03748774343,-0.003306674913
24.8,0.006283185307,0.04377274827,-0.006354877682,-0.03793149839,-0.003437715114
24.85,0.006283185307,0.04434536994,-0.006454159239,-0.03836891774,-0.003572045496
24.9,0.006283185307,0.04491322973,-0.006553418841,-0.03879977388,-0.003709705813
24.95,0.006283185307,0.04547610822,-0.006652634933,-0.03922383918,-0.003850735816
25,0.006283185307,0.04603378601,-0.00675178596,-0.03964088603,-0.003995175259
25.05,0.006283185307,0.04658604371,-0.006850850369,-0.04005068682,-0.004143063893
25.1,0.006283185307,0.0471326619,-0.006949806603,-0.04045301394,-0.00429444147
25.15,0.006283185307,0.04767342119,-0.00704863311,-0.04084763977,-0.004449347744
25.2,0.006283185307,0.04820810217,-0.007147308333,-0.04123433669,-0.004607822466
25.25,0.006283185307,0.04873648545,-0.007245810718,-0.0416128771,-0.004769905388
25.3,0.006283185307,0.0492583516,-0.007344118711,-0.04198303339,-0.004935636264
25.35,0.006283185307,0.04977348124,-0.007442210757,-0.04234457792,-0.005105054845
25.4,0.006283185307,0.05028165497,-0.007540065301,-0.04269728311,-0.005278200884
25.45,0.006283185307,0.05078265337,-0.007637660789,-0.04304092132,-0.005455114133
25.5,0.006283185307,0.05127625704,-0.007734975666,-0.04337526495,-0.005635834345
25.55,0.006283185307,0.05176224659,-0.007831988377,-0.04370008638,-0.005820401271
25.6,0.006283185307,0.05224040261,-0.007928677368,-0.044015158,-0.006008854664
25.65,0.006283185307,0.0527105057,-0.008025021085,-0.0443202522,-0.006201234277
25.7,0.006283185307,0.05317233644,-0.008120997971,-0.04461514136,-0.006397579862
25.75,0.006283185307,0.05362567545,-0.008216586474,-0.04489959786,-0.006597931171
25.8,0.006283185307,0.05407030332,-0.008311765037,-0.04517339411,-0.006802327956
25.85,0.006283185307,0.05450600065,-0.008406512107,-0.04543630247,-0.007010809971
25.9,0.006283185307,0.05493254802,-0.008500806129,-0.04568809534,-0.007223416966
25.95,0.006283185307,0.05534972605,-0.008594625548,-0.04592854511,-0.007440188695
26,0.006283185307,0.05575731532,-0.00868794881,-0.04615742415,-0.00766116491
26.05,0.006283185307,0.05615509644,-0.00878075436,-0.04637450487,-0.007886385363
26.1,0.006283185307,0.05654284999,-0.008873020643,-0.04657955964,-0.008115889807
26.15,0.006283185307,0.05692035659,-0.008964726105,-0.04677236084,-0.008349717994
26.2,0.006283185307,0.05728739682,-0.00905584919,-0.04695268088,-0.008587909676
26.25,0.006283185307,0.05764375129,-0.009146368345,-0.04712029212,-0.008830504606
26.3,0.006283185307,0.05798920058,-0.009236262015,-0.04727496697,-0.009077542535
26.35,0.006283185307,0.0583235253,-0.009325508645,-0.0474164778,-0.009329063217
26.4,0.006283185307,0.05864650605,-0.00941408668,-0.04754459701,-0.009585106404
26.45,0.006283185307,0.05895792341,-0.009501974566,-0.04765909697,-0.009845711847
26.5,0.006283185307,0.059257558,-0.009589150748,-0.04775975008,-0.0101109193
26.55,0.006283185307,0.0595451904,-0.009675593672,-0.04784632871,-0.01038076851
26.6,0.006283185307,0.05982060121,-0.009761281782,-0.04791860527,-0.01065529924
26.65,0.006283185307,0.06008357103,-0.009846193525,-0.04797635213,-0.01093455124
26.7,0.006283185307,0.06033388046,-0.009930307345,-0.04801934168,-0.01121856425
26.75,0.006283185307,0.0605713101,-0.01001360169,-0.04804734631,-0.01150737804
26.8,0.006283185307,0.06079564053,-0.010096055,-0.0480601384,-0.01180103235
26.85,0.006283185307,0.06100665236,-0.01017764572,-0.04805749034,-0.01209956693
26.9,0.006283185307,0.06120412619,-0.01025835231,-0.04803917452,-0.01240302154
26.95,0.006283185307,0.06138784262,-0.0103381532,-0.04800496332,-0.01271143593
27,0.006283185307,0.06155758223,-0.01041702683,-0.04795462913,-0.01302484986
27.05,0.006283185307,0.06171312563,-0.01049495167,-0.04788794434,-0.01334330307
27.1,0.006283185307,0.06185425341,-0.01057190614,-0.04780468132,-0.01366683532
