This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     9816
Number of nonzeros in inequality constraint Jacobian.:        8
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1388
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      396
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1287
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 187  9.7941714e-04 6.48e-03 7.01e+01  -4.1 2.87e-01    -  1.00e+00 2.50e-01h  3
 188  1.0125638e-03 6.93e-03 7.13e+01  -4.1 1.13e-01    -  1.00e+00 1.00e+00h  1
 189  9.9762034e-04 3.75e-03 7.13e+01  -4.1 1.03e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.0609214e-03 3.97e-03 7.01e+01  -4.0 5.74e-01    -  1.00e+00 6.25e-02h  5
 191  1.0052329e-03 2.16e-03 7.02e+01  -4.1 8.70e-02    -  1.00e+00 1.00e+00h  1
 192  1.0466596e-03 2.40e-03 7.13e+01  -4.0 1.33e-01    -  1.00e+00 5.00e-01h  2
 193  1.1277836e-03 5.47e-04 7.13e+01  -4.1 5.87e-02    -  1.00e+00 1.00e+00H  1
 194  1.1318890e-03 4.82e-04 7.13e+01  -4.1 8.83e-02    -  1.00e+00 2.50e-01h  3
 195  1.1077821e-03 3.61e-04 7.02e+01  -4.1 2.65e-02    -  1.00e+00 1.00e+00h  1
 196  1.1399428e-03 4.26e-04 7.13e+01  -4.1 2.61e-02    -  1.00e+00 1.00e+00h  1
 197  1.0686070e-03 9.51e-04 7.02e+01  -4.1 4.52e-02    -  1.00e+00 1.00e+00h  1
 198  1.0254111e-03 1.36e-03 7.02e+01  -4.1 6.36e-01    -  1.00e+00 6.25e-02h  5
 199  1.0366133e-03 5.66e-04 7.14e+01  -4.0 3.11e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  1.0312144e-03 5.44e-04 7.14e+01  -3.7 1.77e+00    -  1.00e+00 8.79e-03h  7
