This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1215565
Number of nonzeros in inequality constraint Jacobian.:     5312
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3879
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      824
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3726
Total number of inequality constraints...............:      553
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      553

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.4743477e+01 8.12e-02 4.45e+01  -1.7 2.86e+00    -  1.00e+00 5.00e-01h  2
 151  1.4127894e+01 1.50e-01 9.83e+01  -2.2 3.33e+00    -  1.00e+00 1.00e+00h  1
 152  1.3371791e+01 1.19e-01 1.04e+02  -2.3 3.15e+00    -  1.00e+00 1.00e+00h  1
 153  1.3313591e+01 1.02e-01 6.66e+01  -2.4 3.27e+00    -  1.00e+00 7.09e-01h  1
 154  1.3826913e+01 9.78e-02 2.15e+02  -1.4 1.12e+01    -  6.07e-01 1.67e-01f  1
 155  1.4641714e+01 9.27e-02 7.69e+01  -1.7 5.98e+00    -  3.51e-01 2.08e-01H  1
 156  1.4745630e+01 1.04e-01 2.67e+01  -1.7 2.36e+00    -  7.82e-01 9.85e-01f  1
 157  1.4824804e+01 5.97e-02 1.34e+02  -1.7 3.04e+00    -  1.00e+00 4.49e-01h  1
 158  1.5100063e+01 2.88e-02 4.37e+01  -1.7 1.42e+00    -  8.15e-01 9.98e-01h  1
 159  1.4802319e+01 3.72e-02 9.70e+01  -2.0 1.58e+00    -  1.00e+00 8.84e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.4302063e+01 5.18e-02 2.10e+02  -2.4 4.10e+00    -  1.00e+00 4.85e-01h  1
 161  1.3502245e+01 1.74e-01 2.52e+02  -2.5 4.37e+00    -  1.00e+00 7.02e-01h  1
 162  1.2936318e+01 9.58e-02 2.94e+02  -2.5 4.51e+00    -  1.00e+00 5.14e-01h  1
 163  1.3089586e+01 3.84e-02 1.73e+02  -2.2 1.32e+00    -  1.00e+00 6.76e-01h  1
 164  1.3260230e+01 2.15e-02 6.60e+01  -2.4 1.17e+00    -  9.18e-01 1.00e+00h  1
 165  1.4062574e+01 1.12e-01 1.14e+02  -1.9 3.18e+00    -  9.34e-01 8.56e-01h  1
 166  1.3994481e+01 1.01e-01 1.08e+02  -2.0 2.14e+00    -  1.00e+00 1.09e-01h  1
 167  1.3219387e+01 2.01e-01 9.56e+01  -2.0 3.27e+00    -  1.00e+00 1.00e+00h  1
 168  1.3196592e+01 7.69e-02 4.07e+01  -2.0 1.97e+00    -  1.00e+00 1.00e+00h  1
 169  1.3048087e+01 4.47e-02 7.12e+01  -2.3 1.51e+00    -  1.00e+00 4.74e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.2762205e+01 3.90e-02 7.56e+01  -2.7 2.93e+00    -  8.38e-01 4.18e-01h  1
 171  1.2745979e+01 2.82e-02 9.14e+01  -2.3 3.60e+00    -  1.00e+00 2.87e-01h  1
 172  1.3012454e+01 3.07e-02 1.31e+02  -2.4 1.74e+00    -  3.71e-01 4.81e-01H  1
 173  1.2729030e+01 2.14e-02 5.69e+01  -2.6 1.36e+00    -  1.00e+00 1.00e+00h  1
 174  1.2852618e+01 1.70e-02 8.48e+01  -2.3 1.32e+00    -  1.00e+00 1.00e+00h  1
 175  1.2840981e+01 8.48e-03 5.16e+01  -2.4 8.25e-01    -  1.00e+00 1.00e+00h  1
 176  1.2759180e+01 6.66e-03 3.38e+02  -3.0 1.31e+00    -  1.00e+00 3.32e-01h  1
 177  1.2583485e+01 3.02e-02 1.52e+02  -2.5 3.85e+00    -  1.00e+00 3.44e-01h  1
 178  1.2125981e+01 9.23e-02 2.39e+02  -2.8 2.89e+00    -  1.00e+00 1.00e+00h  1
 179  1.1846645e+01 5.91e-02 1.85e+02  -2.4 2.61e+00    -  7.95e-01 7.45e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.1974873e+01 4.78e-02 1.48e+02  -2.1 2.20e+00    -  7.54e-01 4.58e-01h  1
 181  1.1974955e+01 3.20e-02 8.25e+01  -2.2 2.22e+00    -  8.21e-01 6.75e-01h  1
 182  1.1589606e+01 5.84e-02 1.08e+02  -2.7 2.63e+00    -  9.45e-01 8.52e-01h  1
 183  1.1211685e+01 8.01e-02 1.41e+02  -2.4 5.82e+00    -  1.00e+00 3.37e-01h  1
 184  1.1359703e+01 2.99e-01 1.87e+02  -1.8 8.74e+00    -  5.54e-01 3.89e-01f  1
 185  1.0901539e+01 1.01e-01 1.23e+02  -2.1 2.24e+00    -  6.65e-01 1.00e+00h  1
 186  1.0460206e+01 4.18e-02 3.85e+01  -2.5 2.06e+00    -  1.00e+00 9.47e-01h  1
 187  1.0196197e+01 5.26e-02 7.71e+01  -2.5 3.91e+00    -  1.00e+00 4.45e-01h  1
 188  1.0641151e+01 3.44e-01 1.43e+02  -1.9 3.86e+00    -  9.31e-01 8.85e-01f  1
 189  1.0285213e+01 1.76e-01 1.28e+02  -2.0 3.52e+00    -  9.24e-01 5.19e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  9.5288172e+00 1.51e-01 8.67e+01  -2.0 3.55e+00    -  1.00e+00 1.00e+00h  1
 191  1.0494670e+01 2.08e-01 1.04e+02  -1.7 4.84e+00    -  1.00e+00 7.01e-01h  1
 192  1.0358676e+01 4.35e-02 6.10e+01  -1.8 1.92e+00    -  1.00e+00 1.00e+00h  1
 193  9.6954178e+00 5.54e-02 4.69e+01  -2.3 3.03e+00    -  1.00e+00 7.85e-01h  1
 194  8.9281885e+00 2.67e-01 1.00e+02  -2.0 3.63e+00    -  1.00e+00 1.00e+00h  1
 195  9.7469230e+00 1.69e-01 6.78e+01  -1.8 2.96e+00    -  1.00e+00 1.00e+00h  1
 196  9.2977340e+00 2.11e-01 4.52e+01  -1.9 2.97e+00    -  1.00e+00 1.00e+00h  1
 197  8.4849233e+00 1.26e-01 3.28e+01  -2.1 2.36e+00    -  1.00e+00 9.83e-01h  1
 198  7.7742406e+00 2.07e-01 1.12e+02  -2.3 4.63e+00    -  1.00e+00 9.85e-01h  1
 199  8.9167699e+00 2.61e-01 5.07e+01  -1.8 3.94e+00    -  1.00e+00 9.11e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  8.4235737e+00 1.76e-01 6.34e+01  -1.9 3.57e+00    -  8.76e-01 1.00e+00h  1
 201  7.9912049e+00 9.59e-02 6.01e+01  -1.9 3.14e+00    -  1.00e+00 1.00e+00h  1
